-0.0002331883,3.576279E-07,-4.842877E-07
-0.0009442717,0.0005153418,0.001006581
-0.001030155,0.001437187,0.0009253547
-0.001233324,0.001205802,0.0009251013
-0.001240395,0.0008864403,0.0007690042
-0.001639612,0.0003446341,0.0009760335
-0.001700923,0.0003128052,0.0009731352
-0.001700923,0.0003128052,0.0009731352
-0.001763135,0.000556469,0.0006944239
-0.001523122,0.0002394915,0.001150697
-0.00139229,0.0005824566,0.0012196
-0.00139229,0.0005824566,0.0012196
-0.0009598732,-0.001223683,-0.0007332861
0.0002168417,-0.0008041859,-0.001636833
0.001204967,-0.0008292198,-0.001333833
0.001204967,-0.0008292198,-0.001333833
0.001190171,-0.0007045269,-0.001355365
0.001031931,-0.0008686781,-0.001398981
0.0008578561,-0.0003750324,-0.001701735
0.001093514,-0.00118494,-0.001104563
0.0003089048,-0.001420617,-0.001230821
0.0005815905,-0.001529098,-0.001005515
-0.0001368886,-0.0008687973,-0.001667902
-0.0001368886,-0.0008687973,-0.001667902
-0.0002452619,0.0006929636,0.001018941
-0.0004277416,0.000868082,0.001486778
-0.00033936,0.001589775,0.0009648949
-0.00033936,0.001589775,0.0009648949
-1.257565E-05,-0.0005671978,-0.001747787
-7.594191E-05,-0.0006604195,-0.001655906
-0.0001861341,-0.0007306337,-0.001509219
-7.733423E-05,4.768372E-07,0.0002207085
-0.0004139896,0.0008970499,0.001205213
-0.0006789416,0.0008615255,0.001338698
-0.0008478388,0.001477361,0.0008632913
-0.001028646,0.001243353,0.0008943304
-0.001273431,0.001119137,0.001006782
-0.001400091,0.0008847713,0.0009355471
-0.001549475,0.0004346371,0.001093514
-0.001549475,0.0004346371,0.001093514
-0.00162109,0.0005844831,0.001014479
-0.001590021,0.0002403259,0.001104064
-0.001671083,0.0004245043,0.0009567514
-0.001671083,0.0004245043,0.0009567514
-0.0009833872,-0.0005966425,-0.0005096123
5.485862E-05,-0.0006519556,-0.00139033
0.001062788,-0.0004546642,-0.001631968
0.001062788,-0.0004546642,-0.001631968
-0.00167574,0.0003938675,0.001001611
-0.001458202,0.0004621744,0.001057558
-0.001304109,0.0004655123,0.001108363
-0.00132535,0.0004903078,0.001334295
-0.00110659,0.000479579,0.001283675
-0.001239292,0.0001474619,0.001517978
-0.001060501,-0.0002508163,0.001324452
-0.0008730218,-0.001018882,0.0008130074
-0.000783354,-0.001751542,-2.014264E-05
-0.001045227,-0.0009787083,-0.001119867
-0.001045227,-0.0009787083,-0.001119867
0.0001581758,0.0008370876,0.001681983
-0.0001031309,0.001158953,0.001409531
-4.190207E-05,0.0003638268,0.001769617
-4.190207E-05,0.0003638268,0.001769617
-0.0009382367,-0.0007323027,-0.001524881
0.0003361478,-0.0009456873,-0.001471817
-0.0003906637,-0.0004177094,-0.001712903
0.0002501532,3.576279E-07,0.0003487691
0.000606209,0.001152992,0.0008519068
0.0003828108,0.0006161928,0.0004669055
0.001263395,0.001414418,2.049655E-05
0.0007781312,0.001321793,-0.001148656
0.001239873,1.93119E-05,-0.00153847
0.0009989701,-8.845329E-05,-0.001573332
0.001182519,-7.092953E-05,-0.001540117
0.00128324,-4.804134E-05,-0.001403853
0.001462385,-4.339218E-05,-0.00133229
0.001551881,-3.910065E-05,-0.001186445
0.001551881,-3.910065E-05,-0.001186445
0.0008354634,0.001396656,0.0009929091
-0.0004367903,0.0007348061,0.001265034
-0.001084074,0.000535965,0.001300409
-0.001084074,0.000535965,0.001300409
-0.000934042,-0.0007574558,-0.0005953759
-0.000141561,-0.001156569,-0.001620963
0.001027159,-0.0002729893,-0.001433775
0.001027159,-0.0002729893,-0.001433775
0.001633503,-2.372265E-05,-0.00102146
0.001862466,-1.561642E-05,-0.00064224
0.001910299,-2.026558E-05,-0.0004548877
0.001885906,-4.386902E-05,-0.0005297512
0.001897402,-6.80685E-05,-0.000360325
0.001896784,-0.0001065731,-0.0002092868
0.001893565,-0.0001643896,-8.225441E-05
0.001827717,-0.0002390146,8.091331E-06
0.001790136,-0.0003492832,5.988777E-05
0.001801968,-0.000469923,0.0006655604
0.001613945,-0.0006272793,0.0006773472
0.001613945,-0.0006272793,0.0006773472
-0.001300156,0.0004484653,5.891919E-05
-0.001660556,0.0002585649,-0.0001772493
-0.001881093,0.0002691746,-0.0001426786
-0.001881093,0.0002691746,-0.0001426786
0.0009790063,-0.0005073547,-0.0008367002
0.001638591,-0.0009491444,0.0001784861
0.001738161,-0.000166893,-0.0001907945
